Uni,Email address,Gender,Last Name,First Name,skills
sr7988,rushaabhsaliya@gmail.com,0,Saliya,Rushaabh,"{""Networks"": 3, ""BackEnd"": 5, ""Python"": 4, ""FrontEnd"": 3, ""JavaScript"": 5}"
ss1175,manusrinidhi10@gmail.com,0,Shankar,Srinidhi,"{""FrontEnd"": 5, ""Java"": 2, ""Computer Vision"": 2, ""Latex"": 2, ""Database"": 4}"
sh6896,harshshethms@gmail.com,1,Sheth,Harsh,"{""Java"": 5, ""NLP"": 4, ""Database"": 4, ""JavaScript"": 4, ""Computer Vision"": 4}"
mn8018,Nipunmidha92@gmail.com,0,Midha,Nipun,"{""Networks"": 2, ""Computer Vision"": 5, ""Java"": 4}"
av1776,varad.choudhari@gmail.com,0,Asheley,Varad,"{""JavaScript"": 2, ""Security"": 5, ""FrontEnd"": 2}"
jc9069,chaitanyajoshi15@gmail.com,0,Joshi,Chaitanya,"{""BackEnd"": 3, ""Java"": 3, ""Security"": 2, ""C++"": 4, ""Computer Vision"": 4}"
mc4267,Cyril13m@gmail.com,0,Mathew,Cyril,"{""Networks"": 3, ""Latex"": 4, ""NLP"": 3}"
rv1119,vyomraj.nitrr@gmail.com,1,RAJ,VYOM,"{""Python"": 3, ""BackEnd"": 5, ""Latex"": 3, ""Database"": 1, ""Networks"": 1}"
ab8349,bharaths1993@gmail.com,1,Asheley,Bharathwaj,"{""Security"": 5, ""NLP"": 3, ""Latex"": 4, ""Java"": 5}"
ds3757,sibendu.dey@gmail.com,1,Dey,Sibendu,"{""NLP"": 3, ""Java"": 1, ""Python"": 3}"
sa8011,aks.shukla47@gmail.com,0,Shukla,Akshat,"{""Networks"": 1, ""Database"": 3, ""BackEnd"": 5}"
sp4906,praga.nitt@gmail.com,0,Suresh,Pragadeesh,"{""Java"": 5, ""Networks"": 5, ""C++"": 2}"
ps4924,sam141094@gmail.com,0,Pai,Samruddhi,"{""Machine Learning"": 1, ""Security"": 2, ""Networks"": 4}"
gg6041,gaurav.g101@gmail.com,1,Gandhi,Gaurav,"{""Computer Vision"": 5, ""C++"": 4, ""Java"": 2, ""JavaScript"": 3}"
sv4049,venkatasaitarunu@gmail.com,1,SAI,VENKATA,"{""Python"": 1, ""NLP"": 5, ""Computer Vision"": 2, ""BackEnd"": 3, ""Machine Learning"": 3}"
tg3294,grishma.thkkr@gmail.com,1,Thakkar,Grishma,"{""Networks"": 1, ""Java"": 5, ""Latex"": 3, ""Security"": 3, ""Computer Vision"": 3}"
aa9229,abhinnankit@hotmail.com,0,Ankit,Abhinn,"{""Java"": 5, ""Security"": 4, ""Latex"": 4, ""Python"": 5, ""JavaScript"": 4}"
dc9802,chirayudesai99@yahoo.co.in,1,Desai,Chirayu,"{""Python"": 5, ""BackEnd"": 5, ""Latex"": 3}"
aa9060,abhishekahuja02@gmail.com,1,Ahuja,Abhishek,"{""C++"": 5, ""Security"": 4, ""Machine Learning"": 4, ""Python"": 5}"
kn2201,kanetkar.ninad@gmail.com,0,Kanetkar,Ninad,"{""FrontEnd"": 4, ""JavaScript"": 4, ""Networks"": 1}"
kp9016,prasannakumarch7@gmail.com,1,Kumar,Prasanna,"{""Latex"": 3, ""C++"": 5, ""Computer Vision"": 5}"
as1859,savarkarsagar27@gmail.com,0,Asheley,Sagar,"{""BackEnd"": 3, ""JavaScript"": 3, ""NLP"": 1, ""Java"": 5}"
as4650,kulkarnisaurabh95@gmail.com,1,Asheley,Saurabh,"{""Database"": 3, ""Latex"": 3, ""NLP"": 3, ""BackEnd"": 2}"
ma1527,amanmankar11@gmail.com,0,Mankar,Aman,"{""Python"": 2, ""C++"": 4, ""Computer Vision"": 5, ""Security"": 1}"
sa7408,anupsrivastava67@gmail.com,1,Srivastava,Anup,"{""JavaScript"": 4, ""NLP"": 3, ""Latex"": 5, ""FrontEnd"": 5}"
sg8678,ganeshsurada29@gmail.com,1,surada,ganesh,"{""Latex"": 4, ""NLP"": 5, ""Networks"": 4, ""Python"": 3, ""Database"": 4}"
bn1065,bhargvnaman@gmail.com,1,Bhargava,Naman,"{""C++"": 5, ""Networks"": 4, ""Latex"": 4, ""JavaScript"": 3, ""Computer Vision"": 3}"
sv9161,vrs1211@hotmail.com,0,Singh,Vikas,"{""NLP"": 4, ""Java"": 4, ""BackEnd"": 4, ""JavaScript"": 5, ""Latex"": 5}"
rp5719,prashantreddy069@gmail.com,0,Reddy,Prashant,"{""NLP"": 1, ""BackEnd"": 5, ""Database"": 3}"
sp5902,poojithshtt@gmail.com,1,Shankar,Poojith,"{""Networks"": 3, ""Computer Vision"": 3, ""Java"": 1}"
rp6369,prashantreddy069@gmail.com,1,Reddy,Prashant,"{""Latex"": 1, ""C++"": 4, ""FrontEnd"": 4, ""Python"": 4, ""Machine Learning"": 4}"
sv1383,vipulsharma018@gmail.com,1,Sharma,Vipul,"{""Latex"": 3, ""Networks"": 4, ""NLP"": 3, ""BackEnd"": 4, ""Security"": 2}"
aa2693,aparnasharma285@gmail.com,1,Asheley,Aparna,"{""NLP"": 5, ""Networks"": 4, ""Latex"": 3, ""Machine Learning"": 3, ""C++"": 4}"
an6698,nishitajmera9@gmail.com,1,Ajmera,Nishit,"{""JavaScript"": 5, ""FrontEnd"": 5, ""Networks"": 3, ""Database"": 3, ""BackEnd"": 5}"
as6573,withsumanth@gmail.com,1,Asheley,Sumanth,"{""BackEnd"": 3, ""NLP"": 3, ""Computer Vision"": 5}"
tk9063,karantyagi11karantyagi11@gmail.com,0,Tyagi,Karan,"{""NLP"": 3, ""Machine Learning"": 5, ""Computer Vision"": 1, ""Database"": 5}"
sp9768,ps5579611@gmail.com,0,singh,Prashant,"{""C++"": 4, ""JavaScript"": 3, ""Java"": 3, ""Security"": 2, ""Database"": 5}"
es1571,eswaran.santhosh@gmail.com,0,Eswaran,Santhosh,"{""Python"": 3, ""Database"": 4, ""Networks"": 5}"
rv5933,vaibhavr4@gmail.com,1,Rangarajan,Vaibhav,"{""Machine Learning"": 2, ""FrontEnd"": 3, ""Networks"": 5, ""Java"": 4}"
se5427,elattp@gmail.com,1,Sethuraman,Elavazhagan,"{""Latex"": 4, ""JavaScript"": 1, ""Java"": 4}"
sa2850,amoghshejwal17@gmail.com,0,Shejwal,Amogh,"{""FrontEnd"": 4, ""C++"": 5, ""Latex"": 3, ""Security"": 2, ""Networks"": 3}"
ma6174,animeshmane@gmail.com,1,Mane,Animesh,"{""Machine Learning"": 1, ""Security"": 5, ""JavaScript"": 1, ""NLP"": 3, ""Computer Vision"": 4}"
st3137,sinha.tsinha@gmail.com,1,Sinha,Tanmay,"{""Latex"": 2, ""Networks"": 5, ""Security"": 2, ""Computer Vision"": 5, ""NLP"": 1}"
kp6099,paarthkotak@gmail.com,1,Kotak,Paarth,"{""Networks"": 3, ""Security"": 3, ""Computer Vision"": 1}"
pk7809,kavya.bhagya.prakash@gmail.com,0,PRAKASH,KAVYA,"{""C++"": 5, ""JavaScript"": 3, ""Security"": 2, ""Machine Learning"": 5, ""Networks"": 3}"
ts8385,shweta.tatiya291@gmail.com,1,Tatiya,Shweta,"{""FrontEnd"": 3, ""Computer Vision"": 5, ""Database"": 2, ""Machine Learning"": 5}"
ya4051,19akashyadav19@gmail.com,1,Yadav,Akash,"{""Security"": 2, ""Computer Vision"": 4, ""Machine Learning"": 5, ""Database"": 4}"
pv6648,vishnu.vizz@gmail.com,1,Prasad,Vishnu,"{""Security"": 3, ""JavaScript"": 4, ""Networks"": 3, ""Python"": 3}"
jn2775,jain21.nupur@gmail.com,1,jain,Nupur,"{""Latex"": 5, ""Database"": 3, ""BackEnd"": 4, ""Networks"": 2, ""FrontEnd"": 3}"
ru7835,urvimaru20.um@gmail.com,0,Rakesh,Urvi,"{""BackEnd"": 3, ""Python"": 4, ""Latex"": 3, ""FrontEnd"": 4}"
kk8840,karthik.charlie@gmail.com,1,keshava,karthik,"{""NLP"": 5, ""FrontEnd"": 5, ""Machine Learning"": 5, ""Python"": 3}"
mc7429,chetan.mj4u@gmail.com,0,M,Chetan,"{""JavaScript"": 3, ""NLP"": 4, ""Computer Vision"": 5}"
ba3713,bhatia.aks@huaky.neu.edu,1,Bhatia,Akshat,"{""Machine Learning"": 4, ""Security"": 5, ""Python"": 1, ""NLP"": 4}"
ta3517,akshthakkar0696@gmail.com,1,Thakkar,Aksh,"{""BackEnd"": 3, ""JavaScript"": 2, ""Database"": 4, ""FrontEnd"": 2, ""Security"": 2}"
ma6155,alaymehta12@gmail.com,1,Mehta,Alay,"{""JavaScript"": 4, ""BackEnd"": 2, ""Latex"": 5, ""Machine Learning"": 3, ""Java"": 4}"
np4499,punithnarayan.mr@gmail.com,1,Narayanaswamy,Punith,"{""NLP"": 5, ""Computer Vision"": 3, ""JavaScript"": 5, ""C++"": 4}"
vs5658,sanchitchavan777@gmail.com,0,vilas,sanchit,"{""Latex"": 4, ""JavaScript"": 2, ""Python"": 3, ""BackEnd"": 3}"
rv5160,cvvijaybalaji@gmail.com,1,Richard,Vijayaballaji,"{""Latex"": 3, ""C++"": 3, ""Security"": 4, ""Machine Learning"": 5, ""Java"": 5}"
ms2444,shalabh.jiit35@gmail.com,1,MITTAL,SHALABH,"{""Networks"": 5, ""JavaScript"": 4, ""FrontEnd"": 4}"
rp2307,pavithran38@pec.edu,1,Ramachandran,Pavithran,"{""Security"": 5, ""C++"": 2, ""Machine Learning"": 5}"
va8630,anubhuti.vyas.28@gmail.com,1,Vyas,Anubhuti,"{""Machine Learning"": 3, ""FrontEnd"": 3, ""Python"": 3, ""Networks"": 4, ""NLP"": 5}"
aa3102,apurva.a.landge@gmail.com,1,Avinash,Apurva,"{""Computer Vision"": 5, ""JavaScript"": 3, ""Latex"": 4}"
vn5940,neelambari.verma@gmail.com,1,Verma,Neelambari,"{""NLP"": 4, ""Java"": 4, ""Latex"": 5, ""Networks"": 4, ""JavaScript"": 3}"
sa8070,shahaanchal94@gmail.com,1,shah,Aanchal,"{""NLP"": 3, ""Python"": 4, ""Security"": 2}"
vh8287,hiralvora9513@gmail.com,1,Vora,Hiral,"{""Machine Learning"": 5, ""Security"": 4, ""Latex"": 5}"
aa6216,athreyaabhijith@gmail.com,1,Athreya,Abhijith,"{""Database"": 3, ""JavaScript"": 1, ""Python"": 4}"
gj3943,jhalak.gupta4@gmail.com,0,Gupta,Jhalak,"{""FrontEnd"": 5, ""C++"": 5, ""Latex"": 1}"
sk7938,kavithasivakumar1207@gmail.com,1,Sivakumar,Kavitha,"{""Database"": 3, ""Computer Vision"": 4, ""Java"": 1, ""JavaScript"": 4}"
sa7548,abhidiptosengupta90@gmail.com,0,Sengupta,Abhidipto,"{""Database"": 1, ""C++"": 5, ""Python"": 3, ""Java"": 1}"
as1353,shlok.gandhi@gmail.com,1,A,Shlok,"{""Java"": 3, ""Security"": 2, ""Database"": 5, ""C++"": 5, ""Latex"": 5}"
pr2060,roshanpshajan@gmail.com,1,P,Roshan,"{""FrontEnd"": 3, ""Latex"": 5, ""JavaScript"": 5, ""Security"": 3}"
ra6044,ash9505@gmail.com,1,Ramesh,Ashwinvignesh,"{""BackEnd"": 5, ""JavaScript"": 5, ""FrontEnd"": 3, ""Python"": 1}"
sc1454,chiragshivnani@gmail.com,0,shivnani,Chirag,"{""Security"": 3, ""JavaScript"": 3, ""Database"": 5}"
ss1087,shekhawat.s@husky.neu.edu,1,Shekhawat,Shefali,"{""Latex"": 3, ""FrontEnd"": 3, ""Java"": 4, ""Networks"": 5}"
tr1026,rtrahultyagi@gmail.com,0,tyagi,Rahul,"{""Latex"": 4, ""Computer Vision"": 3, ""FrontEnd"": 3, ""BackEnd"": 5, ""NLP"": 3}"
pt9739,taashipriya12@gmail.com,1,Priya,Taashi,"{""Latex"": 3, ""Python"": 4, ""Java"": 3, ""Computer Vision"": 3}"
nr1858,rajashreenaik14@gmail.com,0,Naik,Rajashree,"{""BackEnd"": 4, ""FrontEnd"": 3, ""Java"": 4, ""Latex"": 4, ""Database"": 3}"
ga5333,anubhav.gupzz10@gmail.com,1,Gupta,Anubhav,"{""NLP"": 5, ""Computer Vision"": 4, ""Database"": 5}"
st6179,senapatitanmay@gmail.com,0,Senapati,Tanmay,"{""Networks"": 3, ""BackEnd"": 5, ""Security"": 2}"
vm2978,ma0jvenkatesan93@gmail.com,0,venkatesan,Ma0j,"{""Computer Vision"": 5, ""Networks"": 1, ""Python"": 3}"
jd5161,darshan95jain@gmail.con,0,jain,Darshan,"{""Python"": 4, ""JavaScript"": 2, ""Latex"": 3, ""Computer Vision"": 3}"
ys4367,montyhps@gmail.com,1,yashasvi,Sai,"{""C++"": 1, ""Database"": 4, ""Machine Learning"": 4, ""JavaScript"": 4}"
gp6728,pradeepagopinath19@gmail.com,0,Gopinath,Pradeepa,"{""Computer Vision"": 3, ""Security"": 1, ""JavaScript"": 3, ""C++"": 5}"
as7370,sameerdesai592@gmail.com,1,Asheley,Sameer,"{""NLP"": 3, ""Security"": 3, ""BackEnd"": 3, ""Latex"": 4}"
es7770,eswaran.santhosh@gmail.com,1,Eswaran,Santhosh,"{""JavaScript"": 5, ""FrontEnd"": 4, ""Database"": 1}"
am8280,mm19932007@gmail.com,1,Asheley,Monica,"{""JavaScript"": 4, ""NLP"": 3, ""Java"": 5}"
mp6485,prasadchelsea33@gmail.com,1,Madhale,Prasad,"{""BackEnd"": 3, ""Database"": 4, ""Python"": 4, ""C++"": 5, ""Computer Vision"": 3}"
gh5321,harshithgc@gmail.com,1,Gowli,Harshith,"{""Python"": 3, ""C++"": 5, ""Database"": 4, ""Java"": 2, ""NLP"": 5}"
kv5549,vinyasktr@gmail.com,0,kaushik,Vinyas,"{""NLP"": 3, ""Networks"": 5, ""Java"": 3}"
kr6135,ravi.kri14@gmail.com,1,Krishnan,Ravi,"{""Java"": 1, ""JavaScript"": 3, ""Database"": 1, ""BackEnd"": 3}"
cp5416,pallav.j.choudhary@gmail.com,0,Choudhary,Pallav,"{""Database"": 4, ""JavaScript"": 4, ""FrontEnd"": 4}"
ns6195,suyashnarkhede@gmail.com,0,Narkhede,Suyash,"{""Computer Vision"": 3, ""BackEnd"": 1, ""Database"": 4, ""JavaScript"": 2, ""Python"": 2}"
gs1838,sahilgandhi94@gmail.com,1,Gandhi,Sahil,"{""Latex"": 3, ""Python"": 4, ""NLP"": 3, ""C++"": 1, ""Database"": 1}"
sk3378,suwarna.mgm@gmail.com,0,Suwarna,K.,"{""Database"": 5, ""C++"": 2, ""Latex"": 3, ""Networks"": 4, ""Machine Learning"": 3}"
cs8399,sarathchandra96@gmail.com,1,chandra,sarath,"{""Security"": 5, ""BackEnd"": 3, ""Database"": 5, ""Computer Vision"": 4, ""C++"": 2}"
sd3920,padhideepak89@gmail.com,1,Suryakant,Deepak,"{""FrontEnd"": 3, ""Database"": 1, ""BackEnd"": 2}"
ks3956,shi777shir@gmail.com,0,Kurhade,Shishir,"{""Java"": 1, ""FrontEnd"": 3, ""NLP"": 3}"
pi3826,i@ishanpatel.in,1,Patel,Ishan,"{""Security"": 1, ""Machine Learning"": 1, ""Latex"": 3}"
ss2636,sohamsheth1995@gmail.com,0,Sheth,Soham,"{""Machine Learning"": 3, ""Security"": 4, ""Networks"": 4, ""FrontEnd"": 4, ""JavaScript"": 4}"
dj7578,jdoshi1995@gmail.com,1,Doshi,Jay,"{""Security"": 4, ""NLP"": 3, ""Computer Vision"": 3, ""Latex"": 3, ""Python"": 4}"
as5839,sharayu6018@gmail.com,1,Asheley,Sharayu,"{""Java"": 4, ""Computer Vision"": 3, ""FrontEnd"": 3}"
gn1120,namrata_ghag94@yahoo.com,0,Ghag,Namrata,"{""FrontEnd"": 3, ""Latex"": 4, ""NLP"": 4}"
ss7594,sohamsheth1995@gmail.com,1,Sheth,Soham,"{""C++"": 3, ""JavaScript"": 5, ""BackEnd"": 3}"
ar9487,rishabmalik121@gmail.com,0,Asheley,Rishab,"{""Python"": 4, ""Machine Learning"": 4, ""Security"": 5, ""BackEnd"": 4}"
mt9305,tejasmu0t94@gmail.com,1,Mu0t,Tejas,"{""Database"": 5, ""Latex"": 3, ""Computer Vision"": 1, ""Networks"": 5, ""JavaScript"": 5}"
mr6305,rahulmotan01@gmail.com,1,Motan,Rahul,"{""Security"": 1, ""BackEnd"": 3, ""Computer Vision"": 5, ""Machine Learning"": 3, ""FrontEnd"": 4}"
sd2742,dhrumil2494@gmail.com,0,Sanjay,Dhrumil,"{""Networks"": 2, ""C++"": 4, ""Database"": 2, ""BackEnd"": 1, ""Security"": 3}"
cs9764,sangeethac2505@gmail.com,1,Chandrashekar,Sangeetha,"{""Computer Vision"": 4, ""Python"": 5, ""JavaScript"": 3, ""Security"": 3}"
mk6355,krrishmittal15@gmail.com,0,Mittal,Krrish,"{""Python"": 2, ""JavaScript"": 4, ""BackEnd"": 3, ""FrontEnd"": 5}"
dk3942,davekartik24@gmail.com,1,Dave,Kartik,"{""Security"": 3, ""Java"": 1, ""Latex"": 1, ""NLP"": 3}"
nj2489,jhansinair@gmail.com,1,Nair,Jhansi,"{""FrontEnd"": 1, ""Security"": 4, ""Machine Learning"": 5}"
ss6088,soumyadeep.sinha2011@gmail.com,1,sinha,Soumyadeep,"{""Python"": 4, ""FrontEnd"": 4, ""Java"": 4}"
sh4146,shardik95@gmail.com,1,Shah,Hardik,"{""Computer Vision"": 1, ""Java"": 3, ""FrontEnd"": 1, ""NLP"": 4}"
ps4658,sanjanapanicker12@gmail.com,0,Panicker,Sanjana,"{""Security"": 4, ""C++"": 2, ""Computer Vision"": 4, ""Python"": 4, ""Machine Learning"": 2}"
an3460,neha91192@gmail.com,0,Asheley,Neha,"{""Networks"": 3, ""Python"": 4, ""FrontEnd"": 3, ""Machine Learning"": 3}"
sv4994,mscivilvishalshah@gmail.com,1,Shah,Vishal,"{""Machine Learning"": 4, ""JavaScript"": 4, ""Database"": 3, ""Security"": 3}"
ta7936,aashish.thyagarajan@gmail.com,1,Thyagarajan,Aashish,"{""Machine Learning"": 5, ""JavaScript"": 3, ""Security"": 3, ""FrontEnd"": 1}"
pt2928,tejasparab890@gmail.com,1,Parab,Tejas,"{""Security"": 3, ""NLP"": 5, ""Computer Vision"": 1}"
cr2457,rishi.chopra25@gmail.com,0,Chopra,Rishi,"{""Python"": 2, ""NLP"": 5, ""Networks"": 3}"
nb7160,pbhargavi65@gmail.com,0,Nilesh,Bhargavi,"{""Database"": 5, ""FrontEnd"": 5, ""JavaScript"": 5}"
sk3539,kevalshah10694@gmail.com,1,shah,keval,"{""Latex"": 2, ""Networks"": 4, ""Security"": 5, ""C++"": 5, ""Python"": 4}"
ha4913,akhil.d26@gmail.com,1,Hegde,Akhilesh,"{""Latex"": 5, ""Machine Learning"": 5, ""Java"": 5, ""BackEnd"": 5, ""C++"": 3}"
gu1379,ganla.utkarsha@gmail.com,0,Ganla,Utkarsha,"{""Python"": 4, ""BackEnd"": 4, ""Machine Learning"": 3, ""JavaScript"": 3, ""Security"": 5}"
bk9719,kousthub93@gmail.com,1,B,Kousthubh,"{""C++"": 4, ""Computer Vision"": 5, ""Security"": 5, ""Java"": 2, ""FrontEnd"": 3}"
gv4354,vikas.gupta@ves.ac.in,0,Gupta,Vikas,"{""JavaScript"": 3, ""Machine Learning"": 3, ""Java"": 4, ""Latex"": 3, ""C++"": 3}"
rr9006,rachna_reddy93@yahoo.in,1,Reddy,Rachna,"{""BackEnd"": 3, ""Security"": 5, ""JavaScript"": 2, ""Computer Vision"": 4, ""Java"": 4}"
ms9492,suhamurali93@gmail.com,0,Murali,Suhasini,"{""Latex"": 3, ""JavaScript"": 3, ""C++"": 5, ""Security"": 5, ""Networks"": 3}"
ss1568,shashwat.j.shetty@gmail.com,1,Shetty,Shashwat,"{""NLP"": 2, ""Computer Vision"": 4, ""FrontEnd"": 5, ""Security"": 5}"
ra2245,akshdeep.r@gmail.com,1,Rungta,Akshdeep,"{""BackEnd"": 5, ""Computer Vision"": 4, ""Latex"": 1}"
rv1150,varsharaom@gmail.com,1,Rao,Varsha,"{""Networks"": 3, ""Latex"": 1, ""NLP"": 3}"
sv2214,mavishalsurya@yahoo.in,1,surya,Vishal,"{""JavaScript"": 5, ""Networks"": 2, ""Java"": 3}"
ks7880,sumedhkulkarni7@gmail.com,0,Kulkarni,Sumedh,"{""Networks"": 5, ""JavaScript"": 5, ""NLP"": 5, ""FrontEnd"": 3}"
km3506,mansi.kulkarni29@gmail.com,0,kulkarni,Mansi,"{""Networks"": 3, ""Java"": 2, ""NLP"": 4, ""Database"": 5}"
pm2629,manishpatilandroid@gmail.com,1,Patil,Manish,"{""Networks"": 4, ""Java"": 3, ""FrontEnd"": 5}"
ma1586,modianvi@gmail.com,1,Modi,Anvi,"{""Database"": 3, ""Python"": 3, ""FrontEnd"": 1, ""Machine Learning"": 1, ""C++"": 4}"
ga5675,ashwinigiri06@gmail.com,0,Giri,Ashwini,"{""NLP"": 3, ""C++"": 4, ""BackEnd"": 4, ""Java"": 3}"
sn4465,work.nishchayshah@gmail.com,1,Shah,Nishchay,"{""NLP"": 3, ""Python"": 3, ""Latex"": 5}"
ph4246,haritaprakash16@gmail.com,0,Prakash,Harita,"{""Networks"": 5, ""Machine Learning"": 2, ""BackEnd"": 3}"
rg9380,gaurav.chattarki@gmail.com,1,Raj,Gaurav,"{""Security"": 3, ""FrontEnd"": 4, ""Machine Learning"": 3, ""JavaScript"": 3}"
md5182,deep.mehta29492@gmail.com,0,Mehta,Deep,"{""Latex"": 2, ""Python"": 3, ""Computer Vision"": 4, ""FrontEnd"": 3}"
pk9912,kspatil007@gmail.com,0,Patil,Kunal,"{""Python"": 3, ""FrontEnd"": 2, ""Latex"": 5}"
pr8166,ramprakash.94@gmail.com,1,Prakash,Ram,"{""Latex"": 5, ""Database"": 2, ""Security"": 5}"
bk6546,bagdadi_kashif@yahoo.co.in,0,Bagdadi,Kashif,"{""Machine Learning"": 1, ""JavaScript"": 3, ""Computer Vision"": 3}"
rk6036,kritesh.nie@gmail.com,0,Ritesh,Kumar,"{""Machine Learning"": 3, ""Networks"": 3, ""C++"": 1, ""Database"": 5, ""Computer Vision"": 5}"
rh9351,harshrp2511@gmail.com,0,Rajesh,Harsh,"{""Security"": 5, ""BackEnd"": 4, ""Python"": 4, ""NLP"": 4}"
rh6454,harshrp2511@gmail.com,1,Rajesh,Harsh,"{""FrontEnd"": 1, ""Networks"": 5, ""JavaScript"": 3, ""NLP"": 5}"
ks2140,koltesanket1@gmail.com,1,Kolte,Sanket,"{""Computer Vision"": 1, ""JavaScript"": 3, ""Java"": 3}"
gm6527,mitisha6@gmail.com,0,Ganesha,Mitisha,"{""Computer Vision"": 5, ""BackEnd"": 5, ""Networks"": 5, ""Java"": 5, ""Machine Learning"": 3}"
hv9148,mail.varun09@gmail.com,0,Himmatramka,Varun,"{""Database"": 4, ""Security"": 4, ""Networks"": 3}"
tr7485,rohsan7@gmail.com,0,Taori,Rohan,"{""Java"": 4, ""BackEnd"": 4, ""Networks"": 4, ""NLP"": 1, ""Python"": 3}"
vs3493,swagathdeepu@gmail.com,1,V,Swagath,"{""JavaScript"": 3, ""FrontEnd"": 2, ""Computer Vision"": 4}"
rv7935,vigneshiyer1991@gmail.com,0,Raghuraman,Vignesh,"{""C++"": 2, ""NLP"": 3, ""Database"": 3, ""BackEnd"": 5}"
sk9573,krups057@gmail.com,0,Sundararajan,Krupashankar,"{""Security"": 3, ""Java"": 5, ""C++"": 3, ""FrontEnd"": 3}"
sh2899,himanshu.saraswat01@gmail.com,1,Saraswat,Himanshu,"{""Computer Vision"": 3, ""NLP"": 3, ""JavaScript"": 4, ""Latex"": 5, ""Database"": 1}"
sa8187,ashishsinghal1995@gmail.com,0,Singhal,Ashish,"{""JavaScript"": 2, ""NLP"": 4, ""Computer Vision"": 5, ""Database"": 3, ""FrontEnd"": 5}"
dg2187,gaurangdavda@yaboo.in,1,Davda,Gaurang,"{""Python"": 4, ""FrontEnd"": 3, ""Computer Vision"": 2, ""C++"": 2, ""JavaScript"": 5}"
bv5676,venkataramananbj@gmail.com,1,BJ,Venkataramanan,"{""Python"": 3, ""Networks"": 3, ""FrontEnd"": 5}"
gp4375,gautampratyaksh@gmail.com,0,Gautam,Pratyaksh,"{""Python"": 2, ""Computer Vision"": 5, ""JavaScript"": 3, ""NLP"": 4}"
sa4359,ashmeet.pahwa7@gmail.com,1,Singh,Ashmeet,"{""Networks"": 1, ""JavaScript"": 3, ""C++"": 4, ""Python"": 3}"
